Value,Score,Method,Metric,Channel,Optimal,What,Participant,Condition,SamplingRate,MaxFreq,Duration,Dataset
8,3.6780717930336646,fraser1986,Mutual Information,CP3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,3.620057605619242,fraser1986,Mutual Information,CP3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,3.5791644791011823,fraser1986,Mutual Information,CP3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,1.0,rosenstein1993,Autocorrelation (FFT),CP3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,0.9999920915114848,rosenstein1993,Autocorrelation (FFT),CP3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,0.9999840629512259,rosenstein1993,Autocorrelation (FFT),CP3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,0.9999759943439289,rosenstein1993,Autocorrelation (FFT),CP3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,0.9999678870634147,rosenstein1993,Autocorrelation (FFT),CP3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,0.9999597546804517,rosenstein1993,Autocorrelation (FFT),CP3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,0.9999516188992841,rosenstein1993,Autocorrelation (FFT),CP3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,0.9999434967555283,rosenstein1993,Autocorrelation (FFT),CP3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,0.9999354062207206,rosenstein1993,Autocorrelation (FFT),CP3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,0.99992735946195,rosenstein1993,Autocorrelation (FFT),CP3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,1.754841243215079e-06,rosenstein1994,Displacement,CP3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,3.2024867270161174e-06,rosenstein1994,Displacement,CP3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,4.376205849498268e-06,rosenstein1994,Displacement,CP3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,5.403388173051508e-06,rosenstein1994,Displacement,CP3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,6.318992676908077e-06,rosenstein1994,Displacement,CP3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,7.114842983950117e-06,rosenstein1994,Displacement,CP3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,7.788547896561607e-06,rosenstein1994,Displacement,CP3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,8.345544121010243e-06,rosenstein1994,Displacement,CP3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,8.788632850040409e-06,rosenstein1994,Displacement,CP3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,9.12167147278332e-06,rosenstein1994,Displacement,CP3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,4.446585752396488,fraser1986,Mutual Information,CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,3.57581198012915,fraser1986,Mutual Information,CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,3.1014094366106946,fraser1986,Mutual Information,CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,2.7849530991602194,fraser1986,Mutual Information,CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,2.557457455405439,fraser1986,Mutual Information,CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,2.389303740714878,fraser1986,Mutual Information,CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,2.2655249036456233,fraser1986,Mutual Information,CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,2.1749883091917344,fraser1986,Mutual Information,CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,2.107435150253475,fraser1986,Mutual Information,CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,2.0624792768811675,fraser1986,Mutual Information,CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,1.0,rosenstein1993,Autocorrelation (FFT),CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,0.9999923376183525,rosenstein1993,Autocorrelation (FFT),CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,0.9999846155163893,rosenstein1993,Autocorrelation (FFT),CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,0.9999768566342956,rosenstein1993,Autocorrelation (FFT),CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,0.9999690702346727,rosenstein1993,Autocorrelation (FFT),CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,0.9999612652515988,rosenstein1993,Autocorrelation (FFT),CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,0.9999534544018439,rosenstein1993,Autocorrelation (FFT),CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,0.9999456520194747,rosenstein1993,Autocorrelation (FFT),CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,0.999937870022808,rosenstein1993,Autocorrelation (FFT),CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,0.999930115181066,rosenstein1993,Autocorrelation (FFT),CP1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,1.7331446898346296e-06,rosenstein1994,Displacement,CP1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,3.270273748447623e-06,rosenstein1994,Displacement,CP1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,4.620088451082889e-06,rosenstein1994,Displacement,CP1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,5.837337679184106e-06,rosenstein1994,Displacement,CP1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,6.936234074867407e-06,rosenstein1994,Displacement,CP1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,7.90100276088601e-06,rosenstein1994,Displacement,CP1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,8.724183598039581e-06,rosenstein1994,Displacement,CP1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,9.405299010517315e-06,rosenstein1994,Displacement,CP1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,9.949675750699687e-06,rosenstein1994,Displacement,CP1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,1.0361114430774478e-05,rosenstein1994,Displacement,CP1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,6.496627775954467,fraser1986,Mutual Information,P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,5.892464699162636,fraser1986,Mutual Information,P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,5.4824301315713635,fraser1986,Mutual Information,P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,5.187006359055112,fraser1986,Mutual Information,P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,4.968684082658708,fraser1986,Mutual Information,P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,4.806346429143887,fraser1986,Mutual Information,P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,4.686008008556837,fraser1986,Mutual Information,P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,4.59959249343765,fraser1986,Mutual Information,P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,4.539316891499309,fraser1986,Mutual Information,P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,4.500881924825062,fraser1986,Mutual Information,P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,1.0,rosenstein1993,Autocorrelation (FFT),P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,0.9999920142287991,rosenstein1993,Autocorrelation (FFT),P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,0.9999839002109784,rosenstein1993,Autocorrelation (FFT),P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,0.9999756930590188,rosenstein1993,Autocorrelation (FFT),P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,0.9999674173006954,rosenstein1993,Autocorrelation (FFT),P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,0.9999591009077189,rosenstein1993,Autocorrelation (FFT),P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,0.9999507730453979,rosenstein1993,Autocorrelation (FFT),P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,0.999942462436318,rosenstein1993,Autocorrelation (FFT),P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,0.9999341947154887,rosenstein1993,Autocorrelation (FFT),P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,0.9999259888671039,rosenstein1993,Autocorrelation (FFT),P1,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,2.4210893826520585e-06,rosenstein1994,Displacement,P1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,4.638973095171642e-06,rosenstein1994,Displacement,P1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,6.644991313166823e-06,rosenstein1994,Displacement,P1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,8.475498431252529e-06,rosenstein1994,Displacement,P1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,1.0125648775744562e-05,rosenstein1994,Displacement,P1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,1.1577581205633943e-05,rosenstein1994,Displacement,P1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,1.2822515696314028e-05,rosenstein1994,Displacement,P1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,1.3856617202712943e-05,rosenstein1994,Displacement,P1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,1.468101733584525e-05,rosenstein1994,Displacement,P1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,1.5286292406900094e-05,rosenstein1994,Displacement,P1,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,5.342288851833289,fraser1986,Mutual Information,P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,4.50667304395609,fraser1986,Mutual Information,P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,4.035473107288771,fraser1986,Mutual Information,P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,3.7202746339610764,fraser1986,Mutual Information,P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,3.498111130046312,fraser1986,Mutual Information,P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,3.335693838300715,fraser1986,Mutual Information,P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,3.2195911961798442,fraser1986,Mutual Information,P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,3.1374103582618567,fraser1986,Mutual Information,P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,3.0804284599917784,fraser1986,Mutual Information,P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,3.0441590024071132,fraser1986,Mutual Information,P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,1.0,rosenstein1993,Autocorrelation (FFT),P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,0.9999922886153324,rosenstein1993,Autocorrelation (FFT),P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,0.999984361792116,rosenstein1993,Autocorrelation (FFT),P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,0.9999762904945707,rosenstein1993,Autocorrelation (FFT),P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,0.999968114931475,rosenstein1993,Autocorrelation (FFT),P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,0.9999598810010384,rosenstein1993,Autocorrelation (FFT),P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,0.99995163276692,rosenstein1993,Autocorrelation (FFT),P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,0.9999434098946737,rosenstein1993,Autocorrelation (FFT),P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,0.9999352528281938,rosenstein1993,Autocorrelation (FFT),P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,0.9999271910886103,rosenstein1993,Autocorrelation (FFT),P3,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,2.1942411225255238e-06,rosenstein1994,Displacement,P3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,4.17241773349367e-06,rosenstein1994,Displacement,P3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,5.935016615380384e-06,rosenstein1994,Displacement,P3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,7.528537182959622e-06,rosenstein1994,Displacement,P3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,8.956178382857739e-06,rosenstein1994,Displacement,P3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,1.020368087916885e-05,rosenstein1994,Displacement,P3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,1.1270162882255649e-05,rosenstein1994,Displacement,P3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,1.21538442955119e-05,rosenstein1994,Displacement,P3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,1.285205179374329e-05,rosenstein1994,Displacement,P3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,1.3363964177471708e-05,rosenstein1994,Displacement,P3,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,5.85206217418977,fraser1986,Mutual Information,P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,5.1101929483735,fraser1986,Mutual Information,P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,4.671658199465672,fraser1986,Mutual Information,P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,4.373288166902493,fraser1986,Mutual Information,P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,4.157665453854031,fraser1986,Mutual Information,P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,4.000975660748426,fraser1986,Mutual Information,P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,3.885953735526522,fraser1986,Mutual Information,P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,3.8022432976635576,fraser1986,Mutual Information,P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,3.742592748619046,fraser1986,Mutual Information,P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,3.703476824439699,fraser1986,Mutual Information,P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,1.0,rosenstein1993,Autocorrelation (FFT),P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,0.9999918119610448,rosenstein1993,Autocorrelation (FFT),P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,0.9999830215408394,rosenstein1993,Autocorrelation (FFT),P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,0.9999738862400228,rosenstein1993,Autocorrelation (FFT),P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,0.9999644960233826,rosenstein1993,Autocorrelation (FFT),P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,0.9999549617257507,rosenstein1993,Autocorrelation (FFT),P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,0.999945413767452,rosenstein1993,Autocorrelation (FFT),P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,0.9999359487479809,rosenstein1993,Autocorrelation (FFT),P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,0.999926644544163,rosenstein1993,Autocorrelation (FFT),P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,0.9999175561424957,rosenstein1993,Autocorrelation (FFT),P5,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,2.15794129207846e-06,rosenstein1994,Displacement,P5,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,4.040355376203621e-06,rosenstein1994,Displacement,P5,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,5.661703802862607e-06,rosenstein1994,Displacement,P5,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,7.108822569651673e-06,rosenstein1994,Displacement,P5,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,8.392928587626851e-06,rosenstein1994,Displacement,P5,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,9.51069786140269e-06,rosenstein1994,Displacement,P5,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,1.045616694759481e-05,rosenstein1994,Displacement,P5,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,1.1245904096128698e-05,rosenstein1994,Displacement,P5,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,1.1877797948016619e-05,rosenstein1994,Displacement,P5,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,1.2353538219596263e-05,rosenstein1994,Displacement,P5,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,5.164975236457231,fraser1986,Mutual Information,P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,4.359942699907273,fraser1986,Mutual Information,P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,3.917723442543875,fraser1986,Mutual Information,P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,3.621928524066786,fraser1986,Mutual Information,P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,3.4113552247361723,fraser1986,Mutual Information,P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,3.2564537231731006,fraser1986,Mutual Information,P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,3.1442743923545375,fraser1986,Mutual Information,P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,3.061717492635763,fraser1986,Mutual Information,P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,3.003878359767344,fraser1986,Mutual Information,P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,2.9634295435705047,fraser1986,Mutual Information,P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,1.0,rosenstein1993,Autocorrelation (FFT),P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,0.9999714936338069,rosenstein1993,Autocorrelation (FFT),P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,0.9999193047907049,rosenstein1993,Autocorrelation (FFT),P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,0.9998551018024133,rosenstein1993,Autocorrelation (FFT),P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,0.9997809259916165,rosenstein1993,Autocorrelation (FFT),P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,0.9997009911681577,rosenstein1993,Autocorrelation (FFT),P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,0.9996202993743296,rosenstein1993,Autocorrelation (FFT),P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,0.9995428478790563,rosenstein1993,Autocorrelation (FFT),P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,0.9994715992394954,rosenstein1993,Autocorrelation (FFT),P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,0.9994091605233321,rosenstein1993,Autocorrelation (FFT),P7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,2.3333091280439176e-06,rosenstein1994,Displacement,P7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,4.330887187186087e-06,rosenstein1994,Displacement,P7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,6.02426430114858e-06,rosenstein1994,Displacement,P7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,7.532969113639202e-06,rosenstein1994,Displacement,P7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,8.879821180238459e-06,rosenstein1994,Displacement,P7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,1.00528301376235e-05,rosenstein1994,Displacement,P7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,1.1050393004068173e-05,rosenstein1994,Displacement,P7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,1.1880980197612021e-05,rosenstein1994,Displacement,P7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,1.2550040679860347e-05,rosenstein1994,Displacement,P7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,1.3061525327311539e-05,rosenstein1994,Displacement,P7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,5.7408208550857704,fraser1986,Mutual Information,P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,5.025791956508979,fraser1986,Mutual Information,P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,4.617277753113584,fraser1986,Mutual Information,P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,4.333340025281106,fraser1986,Mutual Information,P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,4.122754725678347,fraser1986,Mutual Information,P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,3.9652140546385706,fraser1986,Mutual Information,P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,3.847619647615727,fraser1986,Mutual Information,P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,3.7589999610587954,fraser1986,Mutual Information,P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,3.6934064478943176,fraser1986,Mutual Information,P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,3.64704707796123,fraser1986,Mutual Information,P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,1.0,rosenstein1993,Autocorrelation (FFT),P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,0.9999914946008014,rosenstein1993,Autocorrelation (FFT),P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,0.9999824172836417,rosenstein1993,Autocorrelation (FFT),P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,0.9999730753231434,rosenstein1993,Autocorrelation (FFT),P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,0.999963518761324,rosenstein1993,Autocorrelation (FFT),P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,0.999953842558059,rosenstein1993,Autocorrelation (FFT),P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,0.9999441681218355,rosenstein1993,Autocorrelation (FFT),P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,0.9999345837700299,rosenstein1993,Autocorrelation (FFT),P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,0.9999251469570398,rosenstein1993,Autocorrelation (FFT),P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,0.9999158921008586,rosenstein1993,Autocorrelation (FFT),P9,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,2.311363974633767e-06,rosenstein1994,Displacement,P9,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,4.164765781528402e-06,rosenstein1994,Displacement,P9,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,5.668279687039878e-06,rosenstein1994,Displacement,P9,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,7.005778421678251e-06,rosenstein1994,Displacement,P9,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,8.205821076811542e-06,rosenstein1994,Displacement,P9,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,9.263935528468095e-06,rosenstein1994,Displacement,P9,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,1.0169011299576977e-05,rosenstein1994,Displacement,P9,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,1.0920678625746849e-05,rosenstein1994,Displacement,P9,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,1.1532700842497686e-05,rosenstein1994,Displacement,P9,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,1.2008079682791936e-05,rosenstein1994,Displacement,P9,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,4.537029729290998,fraser1986,Mutual Information,PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,3.6510296249182863,fraser1986,Mutual Information,PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,3.169387121166819,fraser1986,Mutual Information,PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,2.8546896000080872,fraser1986,Mutual Information,PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,2.6337478250509943,fraser1986,Mutual Information,PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,2.4765521899224012,fraser1986,Mutual Information,PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,2.3609044661848575,fraser1986,Mutual Information,PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,2.2809677739075527,fraser1986,Mutual Information,PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,2.2270305679600586,fraser1986,Mutual Information,PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,2.1914139383423086,fraser1986,Mutual Information,PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,1.0,rosenstein1993,Autocorrelation (FFT),PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,0.9999921551097568,rosenstein1993,Autocorrelation (FFT),PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,0.9999840275569117,rosenstein1993,Autocorrelation (FFT),PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,0.9999756981232,rosenstein1993,Autocorrelation (FFT),PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,0.9999672285920297,rosenstein1993,Autocorrelation (FFT),PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,0.9999586794083183,rosenstein1993,Autocorrelation (FFT),PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,0.9999501101597867,rosenstein1993,Autocorrelation (FFT),PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,0.9999415757062592,rosenstein1993,Autocorrelation (FFT),PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
9,0.9999331228637853,rosenstein1993,Autocorrelation (FFT),PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
10,0.9999247902754254,rosenstein1993,Autocorrelation (FFT),PO7,,Delay,S1,Mixed,256.0,52.0,8.5,Texas
1,3.193954337679149e-06,rosenstein1994,Displacement,PO7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
2,6.115593633564088e-06,rosenstein1994,Displacement,PO7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
3,8.735124094331487e-06,rosenstein1994,Displacement,PO7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
4,1.1096163333553746e-05,rosenstein1994,Displacement,PO7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
5,1.320150106557822e-05,rosenstein1994,Displacement,PO7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
6,1.5044718797723427e-05,rosenstein1994,Displacement,PO7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
7,1.662040406776477e-05,rosenstein1994,Displacement,PO7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
8,1.7925933338562336e-05,rosenstein1994,Displacement,PO7,1.0,Delay,S1,Mixed,256.0,52.0,8.5,Texas
