Channel,SFD,AttEn,SVDEn,Hjorth,Participant,Condition,Dataset
AF3,1.672063956715839,2.2633815150279,2.3105715981919737,1.5692258247685749,sub-010002,Eyes-Closed,Lemon
AF4,1.663561556376965,2.3844716600606684,2.309790483337546,1.5971102722281005,sub-010002,Eyes-Closed,Lemon
AF8,1.6703782722550153,2.2948313797610598,2.308236314240719,1.5882351622283484,sub-010002,Eyes-Closed,Lemon
F5,1.6888176312806542,2.1118156843050353,2.315985633166421,1.4846370429919147,sub-010002,Eyes-Closed,Lemon
F1,1.663358907994526,2.414290230991078,2.3146573458816637,1.5536623063936457,sub-010002,Eyes-Closed,Lemon
F2,1.6602337653760855,2.468928956273653,2.3129340200258484,1.5346247011749699,sub-010002,Eyes-Closed,Lemon
F6,1.6890874792678963,2.202862035957699,2.31034332615425,1.5079073725204135,sub-010002,Eyes-Closed,Lemon
FT7,1.6853658607038144,2.0947814175586204,2.3212956634809285,1.5266444825475631,sub-010002,Eyes-Closed,Lemon
FC3,1.6810666180462932,2.2385448785725286,2.3160568714762415,1.5324362762070043,sub-010002,Eyes-Closed,Lemon
FC4,1.671073356848753,2.414368479671574,2.304255736559628,1.5073255396446175,sub-010002,Eyes-Closed,Lemon
FT8,1.6798203303605153,2.2733758543313733,2.3161726143712063,1.6469956964982246,sub-010002,Eyes-Closed,Lemon
C5,1.6846906030616315,2.1486230381435494,2.310279831504528,1.4444054511212876,sub-010002,Eyes-Closed,Lemon
C1,1.6723180578263437,2.4108061964363094,2.3121757292383682,1.4620398070098055,sub-010002,Eyes-Closed,Lemon
C2,1.6677953601980793,2.429237137915565,2.3042041797156068,1.4298572519076873,sub-010002,Eyes-Closed,Lemon
C6,1.6683745095956275,2.4483236734463496,2.2862551921736687,1.5125240403182096,sub-010002,Eyes-Closed,Lemon
TP7,1.6771610136292898,2.401079142349926,2.303032127266605,1.604416263235946,sub-010002,Eyes-Closed,Lemon
CP3,1.6676771011241824,2.4683008378489135,2.2529492901862236,1.3682201906835028,sub-010002,Eyes-Closed,Lemon
CPz,1.6514887952768902,2.394376153935116,2.310352486660916,1.438161660072916,sub-010002,Eyes-Closed,Lemon
CP4,1.6584446191209934,2.4855792691608873,2.254881438506351,1.3317033137973895,sub-010002,Eyes-Closed,Lemon
TP8,1.6698200916919366,2.3498223032716945,2.3072620359004494,1.6030995720172385,sub-010002,Eyes-Closed,Lemon
P5,1.663482110520015,2.5304422144078655,2.2536034386366177,1.4176834699277103,sub-010002,Eyes-Closed,Lemon
P1,1.657119373535854,2.516067390055386,2.2684725416036216,1.3686985500237772,sub-010002,Eyes-Closed,Lemon
P2,1.6546769459547641,2.5197745111891603,2.2903579837857535,1.4180361602034106,sub-010002,Eyes-Closed,Lemon
P6,1.6485617913705122,2.5947012617590945,2.2737768407581216,1.477024128664343,sub-010002,Eyes-Closed,Lemon
PO7,1.6435952408005083,2.654757424961731,2.2484626903171443,1.4527048860926126,sub-010002,Eyes-Closed,Lemon
PO3,1.6501480859341904,2.6285617767209795,2.2607841112150533,1.4157068365667815,sub-010002,Eyes-Closed,Lemon
POz,1.6489159979189234,2.675696009666366,2.2747325945709806,1.5479571567913666,sub-010002,Eyes-Closed,Lemon
PO4,1.6490962041211321,2.661084916748375,2.277166714531184,1.53412581571102,sub-010002,Eyes-Closed,Lemon
PO8,1.6449083943526435,2.6246385119580045,2.2573716243258044,1.511272551902693,sub-010002,Eyes-Closed,Lemon
Fp1,1.7081579728696994,1.983325752225885,2.3188528754825466,1.3130521986752728,sub-010002,Eyes-Open,Lemon
Fp2,1.6821564888016205,2.1328039387041047,2.320866820228686,1.5597298113249962,sub-010002,Eyes-Open,Lemon
F7,1.6775047631685278,2.023247737098636,2.319208875766947,1.5936703812470652,sub-010002,Eyes-Open,Lemon
F3,1.6989873862375193,2.0649765476640396,2.3214174921850526,1.404254136564056,sub-010002,Eyes-Open,Lemon
Fz,1.6756187566774425,2.341003855480304,2.320529920964021,1.5847118370733566,sub-010002,Eyes-Open,Lemon
F4,1.6829666789773368,2.184356170565449,2.3211910900981394,1.493533913574523,sub-010002,Eyes-Open,Lemon
F8,1.6785419558308727,2.0615113912736858,2.3205710097228263,1.5379013775435932,sub-010002,Eyes-Open,Lemon
FC5,1.7105370837682643,1.8878013337764206,2.321389537686929,1.3101952187773336,sub-010002,Eyes-Open,Lemon
FC1,1.6750843236681243,2.3110624319716955,2.321418373086985,1.5687589511969071,sub-010002,Eyes-Open,Lemon
FC2,1.6769729427459037,2.335139698873908,2.3210677296109297,1.5571695815777273,sub-010002,Eyes-Open,Lemon
FC6,1.6791351670383177,2.1850609627562223,2.3205047029713244,1.5361173701551927,sub-010002,Eyes-Open,Lemon
T7,1.6625873713397925,2.1919465817880837,2.3217812335036503,1.6647069677015276,sub-010002,Eyes-Open,Lemon
C3,1.6824407675047652,2.3098477482247115,2.2972266996100235,1.4362201216842714,sub-010002,Eyes-Open,Lemon
Cz,1.6566351528947862,2.324546018959552,2.3198695569800356,1.5352126091014837,sub-010002,Eyes-Open,Lemon
C4,1.6607941893102587,2.4150741400721847,2.2796047129677675,1.372940691719527,sub-010002,Eyes-Open,Lemon
