,ECG
441,0.133819580078125
442,0.13458251953125
443,0.1348876953125
444,0.135040283203125
445,0.135345458984375
446,0.135040283203125
447,0.13519287109375
448,0.13519287109375
449,0.135040283203125
450,0.135040283203125
451,0.1348876953125
452,0.1348876953125
453,0.135345458984375
454,0.1348876953125
455,0.135040283203125
456,0.135040283203125
457,0.135040283203125
458,0.1348876953125
459,0.1348876953125
460,0.134735107421875
461,0.13519287109375
462,0.13458251953125
463,0.133514404296875
464,0.13275146484375
465,0.132598876953125
466,0.1324462890625
467,0.132293701171875
468,0.1324462890625
469,0.13092041015625
470,0.13031005859375
471,0.130157470703125
472,0.1287841796875
473,0.127716064453125
474,0.1275634765625
475,0.1263427734375
476,0.12542724609375
477,0.124053955078125
478,0.122833251953125
479,0.121612548828125
480,0.12054443359375
481,0.1190185546875
482,0.118255615234375
483,0.11688232421875
484,0.114288330078125
485,0.111541748046875
486,0.10955810546875
487,0.108642578125
488,0.106658935546875
489,0.1043701171875
490,0.102081298828125
491,0.099639892578125
492,0.09735107421875
493,0.094757080078125
494,0.0921630859375
495,0.0897216796875
496,0.087432861328125
497,0.0848388671875
498,0.081024169921875
499,0.077972412109375
500,0.074920654296875
501,0.072479248046875
502,0.070037841796875
503,0.0677490234375
504,0.0653076171875
505,0.061492919921875
506,0.05828857421875
507,0.055694580078125
508,0.0531005859375
509,0.050811767578125
510,0.0469970703125
511,0.0439453125
512,0.041046142578125
513,0.038604736328125
514,0.035247802734375
515,0.031890869140625
516,0.028839111328125
517,0.026092529296875
518,0.0225830078125
519,0.019378662109375
520,0.01708984375
521,0.012969970703125
522,0.009918212890625
523,0.006866455078125
524,0.00335693359375
525,-0.000152587890625
526,-0.0042724609375
527,-0.007171630859375
528,-0.009613037109375
529,-0.013885498046875
530,-0.01739501953125
531,-0.019989013671875
532,-0.0238037109375
533,-0.02685546875
534,-0.030975341796875
535,-0.03448486328125
536,-0.03692626953125
537,-0.040740966796875
538,-0.044097900390625
539,-0.046844482421875
540,-0.049285888671875
541,-0.053253173828125
542,-0.05645751953125
543,-0.059051513671875
544,-0.0628662109375
545,-0.066070556640625
546,-0.06866455078125
547,-0.071563720703125
548,-0.07537841796875
549,-0.07843017578125
550,-0.081024169921875
551,-0.083770751953125
552,-0.08697509765625
553,-0.090484619140625
554,-0.093536376953125
555,-0.09552001953125
556,-0.0982666015625
557,-0.1007080078125
558,-0.104827880859375
559,-0.107879638671875
560,-0.1104736328125
561,-0.11138916015625
562,-0.113067626953125
563,-0.115509033203125
564,-0.11749267578125
565,-0.11993408203125
566,-0.1226806640625
567,-0.12481689453125
568,-0.12603759765625
569,-0.1275634765625
570,-0.130157470703125
571,-0.1324462890625
572,-0.133514404296875
573,-0.135498046875
574,-0.1373291015625
575,-0.139923095703125
576,-0.14068603515625
577,-0.142364501953125
578,-0.1434326171875
579,-0.14495849609375
580,-0.1470947265625
581,-0.148162841796875
582,-0.149688720703125
583,-0.1507568359375
584,-0.152130126953125
585,-0.1531982421875
586,-0.154571533203125
587,-0.155487060546875
588,-0.157012939453125
589,-0.157928466796875
