,ECG
432,0.032501220703125
433,0.03265380859375
434,0.03326416015625
435,0.0341796875
436,0.035247802734375
437,0.034942626953125
438,0.03509521484375
439,0.034942626953125
440,0.03509521484375
441,0.0347900390625
442,0.0347900390625
443,0.035247802734375
444,0.03509521484375
445,0.03509521484375
446,0.035858154296875
447,0.036163330078125
448,0.0372314453125
449,0.037841796875
450,0.037689208984375
451,0.037384033203125
452,0.037384033203125
453,0.03753662109375
454,0.037841796875
455,0.03753662109375
456,0.037689208984375
457,0.03753662109375
458,0.03753662109375
459,0.037994384765625
460,0.037689208984375
461,0.0372314453125
462,0.03753662109375
463,0.0390625
464,0.03936767578125
465,0.039825439453125
466,0.03936767578125
467,0.039520263671875
468,0.0396728515625
469,0.039825439453125
470,0.040283203125
471,0.04119873046875
472,0.041961669921875
473,0.042266845703125
474,0.04241943359375
475,0.04241943359375
476,0.042877197265625
477,0.043182373046875
478,0.044403076171875
479,0.0445556640625
480,0.044708251953125
481,0.044403076171875
482,0.044403076171875
483,0.044708251953125
484,0.0457763671875
485,0.046539306640625
486,0.046539306640625
487,0.046844482421875
488,0.0469970703125
489,0.04730224609375
490,0.04852294921875
491,0.048828125
492,0.049285888671875
493,0.049285888671875
494,0.04974365234375
495,0.049591064453125
496,0.05096435546875
497,0.051422119140625
498,0.051727294921875
499,0.052032470703125
500,0.052642822265625
501,0.053558349609375
502,0.054168701171875
503,0.054168701171875
504,0.054168701171875
505,0.054168701171875
506,0.0543212890625
507,0.05401611328125
508,0.055389404296875
509,0.056610107421875
510,0.0567626953125
511,0.056915283203125
512,0.056915283203125
513,0.058135986328125
514,0.058746337890625
515,0.059356689453125
516,0.059051513671875
517,0.06072998046875
518,0.061187744140625
519,0.0616455078125
520,0.063018798828125
521,0.0634765625
522,0.06378173828125
523,0.064239501953125
524,0.064697265625
525,0.0653076171875
526,0.066070556640625
527,0.067291259765625
528,0.06805419921875
529,0.0689697265625
530,0.069580078125
531,0.07080078125
532,0.0714111328125
533,0.072021484375
534,0.07232666015625
535,0.073699951171875
536,0.074310302734375
537,0.075225830078125
538,0.07598876953125
539,0.076751708984375
540,0.07781982421875
541,0.078582763671875
542,0.079193115234375
543,0.08026123046875
544,0.0811767578125
545,0.08209228515625
546,0.082550048828125
547,0.0836181640625
548,0.084381103515625
549,0.0848388671875
550,0.086212158203125
551,0.0860595703125
552,0.0860595703125
553,0.08758544921875
554,0.088348388671875
555,0.0885009765625
556,0.08819580078125
557,0.089111328125
558,0.090179443359375
559,0.0909423828125
560,0.091094970703125
561,0.0909423828125
562,0.09246826171875
563,0.09307861328125
564,0.0933837890625
565,0.09368896484375
566,0.093994140625
567,0.094757080078125
568,0.09552001953125
569,0.09613037109375
570,0.09552001953125
571,0.09735107421875
572,0.09765625
573,0.09796142578125
574,0.098419189453125
575,0.098724365234375
576,0.10009765625
577,0.100555419921875
578,0.100555419921875
579,0.10101318359375
580,0.1025390625
581,0.102691650390625
582,0.102996826171875
583,0.103302001953125
584,0.103607177734375
585,0.104217529296875
586,0.105438232421875
587,0.1055908203125
588,0.1055908203125
