hEOG,vEOG
-0.007849666975844855,-0.005023155819384201
-0.007811516281725502,-0.004993304815487079
-0.007853604023792716,-0.005018773636075465
-0.007898515111875568,-0.0050675873129581665
-0.007855410653157825,-0.0050287197301680025
-0.007814343777602959,-0.004995154320112567
-0.007859152598307457,-0.005021803083613669
-0.007898073787079686,-0.005050682827054614
-0.007858820413522562,-0.005022239601274315
-0.007813404794891458,-0.004983191703407833
-0.007863537589328111,-0.005017277756262146
-0.007905563585314794,-0.005050616184538097
-0.007865043530556226,-0.005016228451622637
-0.007818868039917852,-0.0049751353749883905
-0.007866056523415333,-0.00501518932117926
-0.007907767513349316,-0.005048044171583354
-0.007865753632492365,-0.005023761552812054
-0.007823579024549387,-0.004985323212513231
-0.007866298398697194,-0.005024307853023961
-0.007910293205709028,-0.005067370329494146
-0.007868495783164554,-0.0050336888664309675
-0.007825847596620404,-0.0049933663291658196
-0.007866462536144,-0.005027107673648751
-0.007908369940381063,-0.005064577795094083
-0.007866668264979348,-0.005027823409820654
-0.007819538835538866,-0.004986810391843041
-0.007864900360338593,-0.0050102353122599775
-0.007902186193041203,-0.005074913018781045
-0.00787322631763945,-0.005055625080234097
-0.007827592947418874,-0.005018989732242305
-0.007873299538938398,-0.005058620176078137
-0.007916741614397043,-0.0051116869198665335
-0.007878216227450318,-0.0050746810881481105
-0.007829793383450044,-0.005027002935825186
-0.007876978021352706,-0.005057987523823123
-0.007908129131777334,-0.005099098341501412
-0.007863455052393432,-0.005062630468556133
-0.00783107620858026,-0.005027799076160945
-0.00787805271587593,-0.005070929761044874
-0.00791761222859935,-0.00510410597942081
-0.007874575862551305,-0.005080168982294274
-0.007832598353432037,-0.005036320721153596
-0.007879685833557278,-0.005072682961987354
-0.007922641346943827,-0.0051093919969461945
-0.007876781266575874,-0.0050768584492078776
-0.007831112154533254,-0.005036043615873695
-0.007881455314838526,-0.005070695202496185
-0.007920562183628754,-0.00511386572850691
-0.007879789800925074,-0.005088786512370018
-0.007834307626293927,-0.005034668052405814
-0.007884384367422849,-0.005073226614962089
-0.007921699241399778,-0.005108250856933049
-0.007875720084651162,-0.0050859448240046555
-0.00783306011962731,-0.00504268828655906
-0.007877797924619314,-0.005065941593862631
-0.00792563634711287,-0.0051083899673902
-0.00788541470913009,-0.0050745677793204175
-0.007841401382410918,-0.005035916765434556
-0.007886763367967495,-0.005073548300155895
-0.007926459079565507,-0.005119254987732849
-0.007880395200863062,-0.005080546451168622
-0.007840582325498908,-0.005040499971308595
-0.007885289846292472,-0.005075333016512038
-0.007928507695933337,-0.005111611454564323
-0.007884495501616219,-0.00508393263959936
-0.007840992206129844,-0.005042946294130094
-0.00788474634034282,-0.005074296061347896
-0.007924322080295447,-0.005117999665254937
-0.007883471310403576,-0.005091583602957033
-0.007835835004707697,-0.005051658725212403
-0.007878072236730272,-0.005084421864781249
-0.007926084780207473,-0.005114817970743902
-0.007881738783070136,-0.005087572005302681
-0.007839746921727514,-0.005041790599971249
-0.007879503058140317,-0.0050739360928027475
-0.00792397136113206,-0.005116353897330868
-0.007880288898054932,-0.005086655542254358
-0.007841051878993944,-0.005045026095452057
-0.007888010025260643,-0.00507468805317964
-0.007925669145853907,-0.005121956044294047
-0.007881484388947183,-0.00508692468436489
-0.007838144287852242,-0.005044728597985437
-0.007885142626310501,-0.00508538204809431
-0.007922058016317977,-0.005124031382248471
-0.007882378621532092,-0.005082710399197366
-0.007833714782863368,-0.005050219239902371
-0.007882843277669522,-0.005079196487284511
-0.007921307196050123,-0.005116575714690667
-0.007878893308363891,-0.005079617695193925
-0.007837174614617418,-0.005045767662318347
-0.007886733467257871,-0.005080170136275772
-0.007924422776204318,-0.005118524625217552
-0.007875774327732532,-0.005085160198342624
-0.007834225812927767,-0.005050879144370495
-0.007880997109544232,-0.005080100381133943
-0.007920739124515044,-0.005122004723650849
-0.007880644122961446,-0.005086947400510169
-0.007841204637390324,-0.005049462925798297
-0.007884993019645,-0.005089464901455285
-0.007920802644755134,-0.005123366735160043
-0.007870825451271504,-0.005097683574526098
-0.007831001232194832,-0.0050511098477260385
-0.007877353108149986,-0.005095113323751682
-0.007917675778983342,-0.005130229286177018
-0.007873680614793247,-0.005098088657300823
-0.007827250010741466,-0.0050699461127808555
-0.007871420179761314,-0.005095970691324292
-0.00791390962622442,-0.0051396633492097644
-0.00786941086742343,-0.0051076609997431684
-0.007835484332207161,-0.005067773663204673
-0.007879271712643738,-0.0051024203925319695
-0.007921262154568632,-0.005140736461577594
-0.007878900803361127,-0.005106855145369339
-0.007838010412193432,-0.0050683397307500315
-0.00789285364892681,-0.005102100778209565
-0.007929923342674854,-0.005140300037189719
-0.007884851756726256,-0.0051074369335365214
-0.007842804399775824,-0.005054823159796045
-0.007881875825715609,-0.005098969369712643
-0.007926655092259139,-0.005134744585933911
-0.007882525636671201,-0.00510337047891869
-0.007829913857577524,-0.005066478496372181
-0.007875555812509538,-0.005099984803025598
-0.007917440990123889,-0.0051428448681560155
-0.007874863134577754,-0.005109515226684731
-0.007824911112457885,-0.005072972444588436
-0.00787049767968642,-0.005106966410457158
-0.007913439689488433,-0.0051390654948170215
-0.007871536234795327,-0.005112147701897179
-0.007830236247241178,-0.005065480278532458
-0.007878026715967863,-0.005102104058175212
-0.007917359830420584,-0.005135098851800264
-0.007881501105735883,-0.0051066855006844745
-0.007835898021776116,-0.005072115327558964
-0.00788784359098925,-0.005102271706970223
