ECG,RSP,EDA,PhotoSensor
0.037231445,5.850219727,12.1124275,5
0.048522949,5.850219727,12.11090162,5
0.063171387,5.844726563,12.12921217,5
0.078735352,5.844116211,12.12310866,5
0.099487305,5.840148926,12.13226393,5
0.122833252,5.839233398,12.13226393,5
0.144500732,5.835266113,12.13684157,5
0.160827637,5.834960938,12.14599684,5
0.174102783,5.830078125,12.14752272,5
0.176544189,5.825195313,12.15820387,5
0.158081055,5.820617676,12.15972975,5
0.109558105,5.815429688,12.1704109,5
0.029449463,5.810546875,12.17193678,5
-0.055236816,5.80078125,12.18261793,5
-0.127410889,5.796203613,12.18566969,5
-0.174102783,5.791015625,12.19635084,5
-0.202026367,5.781555176,12.19177321,5
-0.210723877,5.777282715,12.207032,5
-0.209350586,5.766601563,12.20855787,5
-0.197296143,5.762023926,12.22229078,5
-0.177612305,5.752258301,12.22076491,5
-0.161895752,5.747375488,12.21771315,5
-0.146026611,5.737304688,12.23602369,5
-0.12878418,5.732727051,12.23297194,5
-0.113983154,5.72265625,12.24212721,5
-0.097198486,5.717773438,12.24823073,5
-0.083465576,5.712280273,12.24212721,5
-0.070343018,5.703125,12.257386,5
-0.059051514,5.698547363,12.257386,5
-0.051727295,5.693664551,12.25280836,5
-0.043029785,5.688171387,12.26806715,5
-0.040740967,5.68359375,12.26959303,5
-0.035552979,5.679016113,12.26501539,5
-0.030822754,5.678405762,12.28027418,5
-0.028533936,5.673522949,12.28027418,5
-0.026092529,5.668640137,12.28332594,5
-0.023803711,5.668334961,12.29400709,5
-0.021209717,5.668640137,12.29248121,5
-0.021209717,5.664672852,12.29400709,5
-0.021362305,5.664367676,12.30468825,5
-0.018615723,5.664367676,12.30774,5
-0.018615723,5.6640625,12.30468825,5
-0.018615723,5.669250488,12.30468825,5
-0.013885498,5.669250488,12.31689528,5
-0.013885498,5.674133301,12.31689528,5
-0.01159668,5.679016113,12.31842116,5
-0.009307861,5.682678223,12.31842116,5
-0.011444092,5.688781738,12.32910231,5
-0.009002686,5.694274902,12.32757643,5
-0.003662109,5.701599121,12.33062819,5
-0.003814697,5.708618164,12.33215407,5
-0.001525879,5.717773438,12.3443611,5
0.000915527,5.727539063,12.34130934,5
0.001068115,5.737609863,12.34283522,5
0.003662109,5.747680664,12.34130934,5
0.000610352,5.760498047,12.35504225,5
0.005950928,5.771789551,12.35351637,5
0.005645752,5.785522461,12.35199049,5
0.003204346,5.796203613,12.35199049,5
0.00579834,5.810546875,12.3657234,5
0.003509521,5.824584961,12.36724928,5
0.007629395,5.837097168,12.3657234,5
0.010528564,5.850219727,12.36724928,5
0.010681152,5.864257813,12.3657234,5
0.011901855,5.87890625,12.37945631,5
0.013122559,5.893249512,12.37945631,5
0.01083374,5.910339355,12.38098219,5
0.012817383,5.924682617,12.37793043,5
0.008239746,5.941772461,12.37793043,5
0.010681152,5.956420898,12.39013746,5
0.007171631,5.971679688,12.39318922,5
0.008087158,5.986328125,12.3947151,5
0.015563965,6.001281738,12.39013746,5
0.028839111,6.015014648,12.38861158,5
0.052947998,6.029663086,12.3947151,5
0.042419434,6.044616699,12.40387037,5
0.051422119,6.059570313,12.40387037,5
0.036468506,6.07635498,12.40387037,5
-0.005950928,6.090698242,12.40387037,5
-0.021057129,6.10534668,12.4023445,5
-0.007629395,6.120605469,12.4023445,5
-0.008850098,6.134643555,12.4023445,5
-0.022277832,6.148681641,12.4023445,5
-0.026092529,6.164550781,12.41149977,5
-0.018768311,6.176757813,12.41607741,5
-0.018768311,6.190795898,12.41912916,5
-0.014038086,6.205444336,12.41302565,5
-0.011749268,6.220703125,12.41455153,5
-0.011291504,6.232299805,12.41760328,5
-0.011444092,6.245117188,12.41607741,5
-0.024414063,6.258544922,12.41760328,5
-0.079803467,6.268920898,12.41607741,5
-0.047149658,6.283569336,12.41455153,5
0.181274414,6.293640137,12.42065504,5
0.864868164,6.30279541,12.41455153,5
0.850372314,6.316223145,12.41302565,5
0.198669434,6.327209473,12.41760328,5
-0.297241211,6.337280273,12.41455153,5
-0.449981689,6.347351074,12.41760328,5
-0.338897705,6.357421875,12.41302565,5
-0.183258057,6.366271973,12.41455153,5
-0.110473633,6.373596191,12.41302565,5
-0.075378418,6.380615234,12.42828444,5
-0.052642822,6.391296387,12.42828444,5
-0.039367676,6.401367188,12.42523268,5
-0.031738281,6.410217285,12.42828444,5
-0.02243042,6.415710449,12.42981032,5
-0.013885498,6.42578125,12.42981032,5
-0.006256104,6.434631348,12.42828444,5
0.003662109,6.43951416,12.42828444,5
0.013275146,6.449584961,12.42828444,5
0.020446777,6.455993652,12.42981032,5
0.03036499,6.464538574,12.42981032,5
0.037231445,6.468811035,12.42828444,5
0.050964355,6.479492188,12.42675856,5
0.065460205,6.483459473,12.42828444,5
0.084991455,6.490783691,12.42675856,5
0.106811523,6.498718262,12.42981032,5
0.127563477,6.502990723,12.42675856,5
0.13885498,6.507263184,12.42828444,5
0.147399902,6.513671875,12.42981032,5
0.149841309,6.51763916,12.42828444,5
0.132751465,6.523132324,12.42828444,5
0.084075928,6.528015137,12.42981032,5
0.015716553,6.530151367,12.43133619,5
