Sampling_Rate,Duration,Score,Recording_Length,Error,Participant,Database,Method
360,0.150598,0.0019860979148245772,30.092592592592595,None,MIT-Arrhythmia_07,MIT-Arrhythmia,none
360,0.137632,0.0961620461951569,30.092592592592595,None,MIT-Arrhythmia_08,MIT-Arrhythmia,none
360,0.04488,0.058163193026460815,10.0,None,MIT-Arrhythmia_08,MIT-Arrhythmia-x,none
360,0.181515,0.0027407208127721108,30.092592592592595,None,MIT-Arrhythmia_09,MIT-Arrhythmia,none
360,0.054853,0.0028528708263198333,10.0,None,MIT-Arrhythmia_09,MIT-Arrhythmia-x,none
360,0.149601,0.002800307976335908,30.092592592592595,None,MIT-Arrhythmia_10,MIT-Arrhythmia,none
360,0.049867,0.0023000189783736673,10.0,None,MIT-Arrhythmia_10,MIT-Arrhythmia-x,none
360,0.166555,0.0009676669484846506,30.092592592592595,None,MIT-Arrhythmia_11,MIT-Arrhythmia,none
360,0.053856,0.0007338864012642771,10.0,None,MIT-Arrhythmia_11,MIT-Arrhythmia-x,none
360,0.14561,0.04273089940257144,30.092592592592595,None,MIT-Arrhythmia_12,MIT-Arrhythmia,none
360,0.049867,0.06708300613805501,10.0,None,MIT-Arrhythmia_12,MIT-Arrhythmia-x,none
360,0.136636,0.007428949534287336,30.092592592592595,None,MIT-Arrhythmia_13,MIT-Arrhythmia,none
360,0.043884,0.015089978254416773,10.0,None,MIT-Arrhythmia_13,MIT-Arrhythmia-x,none
360,0.140625,0.000735290833862206,30.092592592592595,None,MIT-Arrhythmia_14,MIT-Arrhythmia,none
360,0.048869,0.0007776486912280054,10.0,None,MIT-Arrhythmia_14,MIT-Arrhythmia-x,none
360,0.156582,0.01649567687287634,30.092592592592595,None,MIT-Arrhythmia_15,MIT-Arrhythmia,none
360,0.055851,0.0010254925574838404,10.0,None,MIT-Arrhythmia_15,MIT-Arrhythmia-x,none
360,0.131648,0.004143238305822465,30.092592592592595,None,MIT-Arrhythmia_16,MIT-Arrhythmia,none
360,0.043884,0.0032901418624486775,10.0,None,MIT-Arrhythmia_16,MIT-Arrhythmia-x,none
360,0.162565,0.0019331577806433913,30.092592592592595,None,MIT-Arrhythmia_17,MIT-Arrhythmia,none
360,0.1496,0.0018253281780820892,30.092592592592595,None,MIT-Arrhythmia_18,MIT-Arrhythmia,none
360,0.141622,0.00337909154795731,30.092592592592595,None,MIT-Arrhythmia_19,MIT-Arrhythmia,none
360,0.048869,0.0035087713468293586,10.0,None,MIT-Arrhythmia_19,MIT-Arrhythmia-x,none
360,0.171542,0.0013686458456256233,30.092592592592595,None,MIT-Arrhythmia_20,MIT-Arrhythmia,none
360,0.054852,0.0016499320172927278,10.0,None,MIT-Arrhythmia_20,MIT-Arrhythmia-x,none
360,0.130652,0.0021145034331385283,30.092592592592595,None,MIT-Arrhythmia_21,MIT-Arrhythmia,none
360,0.044881,0.00500997050346128,10.0,None,MIT-Arrhythmia_21,MIT-Arrhythmia-x,none
360,0.132645,0.0033568782158280683,30.092592592592595,None,MIT-Arrhythmia_22,MIT-Arrhythmia,none
360,0.043882,0.003982556356591984,10.0,None,MIT-Arrhythmia_22,MIT-Arrhythmia-x,none
