,Duration,Sampling_Rate,Respiratory_Rate,Simulation,Noise_Amplitude,Noise_Frequency,Detrend_Order,Detrend_Position,Filter_Order,Filter_Low,Filter_High,Difference_Mean,Difference_SD
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.1,0.35,-0.009536998835964235,0.07441689434609809
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.1,0.25,0.023318136399975913,0.10726130292097909
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.15,3.0,-0.00718514229794431,0.05976259592454059
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.15,2.0,-0.007256070123639403,0.05969178582345628
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.15,1.0,-0.007394765158070193,0.059994746937187225
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.15,0.35,-0.006474363758236327,0.061906745286470534
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.15,0.25,0.05181404819845893,0.12356125767502707
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.2,3.0,-0.003096051812588171,0.06713488948575404
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.2,2.0,-0.0027557967659897604,0.06936817184129086
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.2,1.0,-0.0018260003918108504,0.07857566076314876
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.2,0.35,0.001822751872561149,0.09185499614983068
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.2,0.25,0.160584487667988,0.22759065003191647
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.0,3.0,-0.007865998519488267,0.06236461531780895
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.0,2.0,-0.007865998519488267,0.06236461531780895
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.0,1.0,-0.00789976386828779,0.06277171195286363
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.0,0.35,-0.008761027482576485,0.05865957678569586
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.0,0.25,0.0009916774554343955,0.05748487529553632
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.05,3.0,-0.007994467019147489,0.06514235679828227
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.05,2.0,-0.008463150796829471,0.06419924008268481
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.05,1.0,-0.009750124315475759,0.06333261678863977
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.05,0.35,-0.013799757750535322,0.07235987908534919
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.05,0.25,0.023699223001804413,0.10781449973605438
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.1,3.0,-0.009768614131739373,0.07179723030867437
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.1,2.0,-0.00951118475623876,0.07206108356256197
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.1,1.0,-0.00903889234827463,0.07196169529617899
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.1,0.35,-0.011543267193988587,0.0758414906482558
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.1,0.25,0.054754792082106,0.18954154818741603
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.15,3.0,0.002994223826323489,0.07703804821263276
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.15,2.0,0.0036195804778921545,0.07972464544414921
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.15,1.0,-0.008157908916776407,0.06693511276418761
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.15,0.35,-0.003206418605369542,0.07443782960489756
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.15,0.25,0.1017499891874594,0.24839213776556307
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.2,3.0,-0.0046173327914244095,0.07993220217881099
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.2,2.0,-0.004842723556831893,0.08587128305347579
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.2,1.0,-0.0063074660615604905,0.11335848426038926
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.2,0.35,-0.006173621988837082,0.13152357728549682
0,120,1000,15,Simple,0.01,1.0,0,First,5,0.2,0.25,0.1966335467341157,0.2567773964738929
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.0,3.0,-0.007865998519488267,0.06236461531780895
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.0,2.0,-0.007865998519488267,0.06236461531780895
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.0,1.0,-0.00789976386828779,0.06277171195286363
