,Duration,Sampling_Rate,Respiratory_Rate,Simulation,Noise_Amplitude,Noise_Frequency,Detrend_Method,Detrend_Order,Detrend_Regularization,Detrend_Alpha,Detrend_Position,Filter_Method,Filter_Type,Filter_Order,Filter_Low,Filter_High,Difference_Rate_Mean,Difference_Rate_SD,Difference_Cleaned_Mean,Difference_Cleaned_SD
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_4,4,,43.33333333333333,-0.0399860903772607,0.17634079338957845,0.0008332514967362729,0.03325182310151796
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_5,5,,43.33333333333333,-0.0399860903772607,0.17634079338957845,0.0005687942787640689,0.03204694765971613
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_6,6,,43.33333333333333,-0.0399860903772607,0.17634079338957845,-0.000935351916886578,0.027808381865178793
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_7,7,,43.33333333333333,-0.03749521321821618,0.17465085015365467,-0.003908187285028002,0.02973566451304803
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_8,8,,43.33333333333333,-0.03686365314582429,0.17458906743280744,-0.008303553723362956,0.0467108437153695
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_9,9,,43.33333333333333,-0.03560040697784797,0.1745844422999329,-0.013763561971292478,0.07283846438480622
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,FIR,FIR,5,,43.33333333333333,-0.0399860903772607,0.17634079338957845,-0.0017938998223425316,0.008113690985291775
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_0,0,,46.111111111111114,-0.0399860903772607,0.17634079338957845,-0.001793899834763374,0.00811390537958794
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_1,1,,46.111111111111114,-0.040005303050843766,0.17651258156204785,-0.001223658055447063,0.080610790856719
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_2,2,,46.111111111111114,-0.040005303050843766,0.17651258156204785,-0.0006793067528406353,0.034744224234449526
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_3,3,,46.111111111111114,-0.0399860903772607,0.17634079338957845,0.00015139669322670871,0.028858279275400536
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_4,4,,46.111111111111114,-0.0399860903772607,0.17634079338957845,0.0008110186079430453,0.03228396049548266
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_5,5,,46.111111111111114,-0.0399860903772607,0.17634079338957845,0.0008780303686444455,0.032850974936634074
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_6,6,,46.111111111111114,-0.0399860903772607,0.17634079338957845,-2.466177181105067e-05,0.029450395675442408
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_7,7,,46.111111111111114,-0.0399860903772607,0.17634079338957845,-0.002155399118717362,0.02661072799032553
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_8,8,,46.111111111111114,-0.0399860903772607,0.17634079338957845,-0.005587018086195585,0.03474915323597215
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_9,9,,46.111111111111114,-0.03993382150962997,0.17832227321538838,-0.010164553007469669,0.05503548614756976
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,FIR,FIR,5,,46.111111111111114,-0.0399860903772607,0.17634079338957845,-0.0017938998258166384,0.008113735468151468
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_0,0,,48.888888888888886,-0.0399860903772607,0.17634079338957845,-0.001793899834763374,0.00811390537958794
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_1,1,,48.888888888888886,-0.040005303050843766,0.17651258156204785,-0.001276807822835335,0.07370278749286703
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_2,2,,48.888888888888886,-0.0399860903772607,0.17634079338957845,-0.0007788369408757732,0.02968552341743322
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_3,3,,48.888888888888886,-0.0399860903772607,0.17634079338957845,1.2306689338836681e-05,0.026655040323336453
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_4,4,,48.888888888888886,-0.0399860903772607,0.17634079338957845,0.00072283304736907,0.031147990489728748
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_5,5,,48.888888888888886,-0.0399860903772607,0.17634079338957845,0.0010081857234577048,0.03305538026973354
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_6,6,,48.888888888888886,-0.041847057216333416,0.17806100534917782,0.000540946953129397,0.031065095576516728
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_7,7,,48.888888888888886,-0.041847057216333416,0.17806100534917782,-0.0009354394027025581,0.026998561518080198
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_8,8,,48.888888888888886,-0.042478919957549426,0.17819258734111088,-0.0035535592057907277,0.028136095588169336
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_9,9,,48.888888888888886,-0.043110734311538446,0.17836354182530478,-0.007282367454945453,0.041411663928880425
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,FIR,FIR,5,,48.888888888888886,-0.0399860903772607,0.17634079338957845,-0.0017938998258103603,0.008113727155700029
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_0,0,,51.666666666666664,-0.0399860903772607,0.17634079338957845,-0.001793899834763374,0.00811390537958794
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_1,1,,51.666666666666664,-0.040005303050843766,0.17651258156204785,-0.0013235253245919747,0.06759746121945245
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_2,2,,51.666666666666664,-0.0399860903772607,0.17634079338957845,-0.0008696330315026036,0.025788241590602626
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_3,3,,51.666666666666664,-0.0399860903772607,0.17634079338957845,-0.00012551484715832888,0.024834716525405625
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_4,4,,51.666666666666664,-0.0399860903772607,0.17634079338957845,0.000600804263516709,0.029904552421965252
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_5,5,,51.666666666666664,-0.0399860903772607,0.17634079338957845,0.0010271189341558291,0.032789665111836994
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_6,6,,51.666666666666664,-0.041847057216333416,0.17806100534917782,0.0008727946774678952,0.032184067627889126
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_7,7,,51.666666666666664,-0.041847057216333416,0.17806100534917782,-0.00010218216778814634,0.028601631154629825
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_8,8,,51.666666666666664,-0.041847057216333416,0.17806100534917782,-0.0020556987094364557,0.02596973041009479
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_9,9,,51.666666666666664,-0.042478919957549426,0.17819258734111088,-0.005029300403416244,0.03214501896144468
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,FIR,FIR,5,,51.666666666666664,-0.0399860903772607,0.17634079338957845,-0.0017938998276407156,0.008113752092568852
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_0,0,,54.44444444444444,-0.0399860903772607,0.17634079338957845,-0.001793899834763374,0.00811390537958794
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_1,1,,54.44444444444444,-0.040005303050843766,0.17651258156204785,-0.001364721120470933,0.062187026673514174
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_2,2,,54.44444444444444,-0.0399860903772607,0.17634079338957845,-0.0009516478854376563,0.02275767937747837
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_3,3,,54.44444444444444,-0.0399860903772607,0.17634079338957845,-0.0002567969349248328,0.02326977422001843
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_4,4,,54.44444444444444,-0.0399860903772607,0.17634079338957845,0.00046373018252773986,0.028616937621095503
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_5,5,,54.44444444444444,-0.0399860903772607,0.17634079338957845,0.0009778673059769034,0.03219390339338699
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_6,6,,54.44444444444444,-0.0399860903772607,0.17634079338957845,0.0010465799598371865,0.03276927837387468
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_7,7,,54.44444444444444,-0.0399860903772607,0.17634079338957845,0.00045242954990743617,0.030242466214091948
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_8,8,,54.44444444444444,-0.0399860903772607,0.17634079338957845,-0.0009682494306139387,0.026464496423001357
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_9,9,,54.44444444444444,-0.0399860903772607,0.17634079338957845,-0.0032970022150740044,0.027117269494463178
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,FIR,FIR,5,,54.44444444444444,-0.0399860903772607,0.17634079338957845,-0.0017938998274782936,0.008113741997961733
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_0,0,,57.22222222222222,-0.0399860903772607,0.17634079338957845,-0.001793899834763374,0.00811390537958794
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_1,1,,57.22222222222222,-0.040005303050843766,0.17651258156204785,-0.0014011667216396054,0.05737904064709366
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_2,2,,57.22222222222222,-0.0399860903772607,0.17634079338957845,-0.0010253263383614688,0.020377024787650966
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_3,3,,57.22222222222222,-0.0399860903772607,0.17634079338957845,-0.0003791296895849984,0.021893894859966886
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_4,4,,57.22222222222222,-0.0399860903772607,0.17634079338957845,0.00032255046880037185,0.027331842365385158
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_5,5,,57.22222222222222,-0.0399860903772607,0.17634079338957845,0.0008879216290846011,0.03138112901910917
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_6,6,,57.22222222222222,-0.0399860903772607,0.17634079338957845,0.0011138864687919969,0.032904600820229765
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_7,7,,57.22222222222222,-0.0399860903772607,0.17634079338957845,0.000807057002052965,0.031513645325511506
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_8,8,,57.22222222222222,-0.03935437810073075,0.17624382337979919,-0.00019137044446503873,0.027969205392696702
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_9,9,,57.22222222222222,-0.03935437810073075,0.17624382337979919,-0.001982620661858644,0.025559257107486365
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,FIR,FIR,5,,57.22222222222222,-0.0399860903772607,0.17634079338957845,-0.0017938998288825729,0.008113765054492779
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_0,0,,60.0,-0.0399860903772607,0.17634079338957845,-0.001793899834763374,0.00811390537958794
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_1,1,,60.0,-0.040005303050843766,0.17651258156204785,-0.0014335153576310324,0.053094407062121644
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_2,2,,60.0,-0.0399860903772607,0.17634079338957845,-0.0010913381965059752,0.01848684393508586
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_3,3,,60.0,-0.0399860903772607,0.17634079338957845,-0.0004916845826129202,0.020669172652965757
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_4,4,,60.0,-0.0399860903772607,0.17634079338957845,0.0001835313930855579,0.02607984399670884
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_5,5,,60.0,-0.0399860903772607,0.17634079338957845,0.0007749374582320427,0.030435008913467017
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_6,6,,60.0,-0.0399860903772607,0.17634079338957845,0.0011100107048473452,0.03269354463835989
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_7,7,,60.0,-0.0399860903772607,0.17634079338957845,0.0010186055505032527,0.03233767513067865
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_8,8,,60.0,-0.0399860903772607,0.17634079338957845,0.0003521859362279495,0.029570854788214754
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_9,9,,60.0,-0.03935437810073075,0.17624382337979919,-0.0009977271557990715,0.02610308056482319
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,FIR,FIR,5,,60.0,-0.0399860903772607,0.17634079338957845,-0.0017938998300654513,0.008113786405314344
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,None,None,5,,,-0.059925796947189594,0.22787883604275166,0.0008732982852558726,0.008923347358617608
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_0,0,,35.0,-0.059925796947189594,0.22787883604275166,0.0008732982852558726,0.008923347358617608
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_1,1,,35.0,-0.04916884529792887,0.18434240355891301,0.0017762996425048658,0.11926265104600052
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_2,2,,35.0,-0.04373365364206219,0.18051518319506263,0.002462517397015768,0.07689494214661108
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_3,3,,35.0,-0.04361209554929871,0.18051933183855082,0.0030780617188987673,0.05271657114847628
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_4,4,,35.0,-0.043610228259575334,0.1805410417577868,0.0024766482015665557,0.03915171004339543
